Ranking,Start Date,Concert Name,Bands,Venue,Location,Rating,Paid,Discount
55,09/17/2024,North America Tour,Arlo Parks / Social Cig,The Rave/Eagles Club,"Milwaukee, Wisconsin, United States",3,0,Rave Contest
23,09/20/2024,,Dessa / Wave Chapelle,Vivarium,"Milwaukee, Wisconsin, United States",4.5,0,Street Team
24,09/29/2024,,Kaitlin Butts / Angel White,Vivarium,"Milwaukee, Wisconsin, United States",4.5,0,Street Team
40,10/04/2024,Studio Milwaukee Session,Yard Act,88Nine Radio Milwaukee Studios,"Milwaukee, Wisconsin, United States",4,0,88nine Member
27,10/04/2024,,Marika Hackman / Art School Girlfriend,Vivarium,"Milwaukee, Wisconsin, United States",4,0,Street Team
38,10/11/2024,,Horseshoes & Hand Grenades / Ladybird,Pabst Theater,"Milwaukee, Wisconsin, United States",4,0,Street Team
51,10/18/2024,,Jacob Slade,Riverwalk Commons,"Milwaukee, Wisconsin, United States",3.5,0,Public Park
57,10/24/2024,,The Nunnery / Dosh / Luke Callen / Maximiano ,Cactus Club,"Milwaukee, Wisconsin, United States",2.5,1,
15,11/02/2024,,The Menzingers / Direct Hit! / Holy Pinto,The Rave,"Milwaukee, Wisconsin, United States",4.5,0,Rave Contest
7,11/09/2024,,Haley Heynderickx / Lily Breshears,Vivarium,"Milwaukee, Wisconsin, United States",5,0,Street Team
39,11/13/2024,Good News For People Who Love Bad News' 20 Year Anniversary Tour,Modest Mouse / The Black Heart Procession,The Riverside Theater,"Milwaukee, Wisconsin, United States",4,0,Street Team
26,12/26/2024,,Johanna Rose / Ellie Jackson / Bitch Creek,Cactus Club,"Milwaukee, Wisconsin, United States",4.5,1,
