Start Date,Location,Bands,Is Local,Ranking,Rating,Paid,Discount,dist_from_home,drive_time,Scrobbles Before Concert,Album Name,Release Date,Tier,Waited,Venue Location,Full Address,Latitude,Longitude
2024-04-27,"Milwaukee, Wisconsin, United States","Sierra Ferrell, Cat Clyde",0,16,4.5,0,Street Team,5.5,12,153,Trail Of Flowers,2024-03-22,Top 25,36 day(s),"The Riverside Theater, Milwaukee, Wisconsin, United States","116 W Wisconsin Ave, Milwaukee, WI 53203",43.0388947,-87.9109327
2024-05-01,"Milwaukee, Wisconsin, United States","Durry, Lunar Moth",0,31,4.0,0,Street Team,5.5,16,24,,,,,"Vivarium, Milwaukee, Wisconsin, United States","1830 N Farwell Ave, Milwaukee, WI 53202",43.0543036,-87.8905826
2024-05-07,"Milwaukee, Wisconsin, United States","Belle and Sebastian, Haley Henderickx",0,13,4.5,0,Street Team,4.5,13,238,Late Developers,2023-01-13,Top 50,480 day(s),"Turner Hall Ballroom, Milwaukee, Wisconsin, United States","1048 N Vel R. Phillips Ave, Milwaukee, WI 53203",43.0379086,-87.9160468
2024-06-03,"Chicago, Illinois, United States","Camera Obscura, Photo Ops",0,42,3.5,1,Unknown,97.7,94,103,,,,,"Thalia Hall, Chicago, Illinois, United States","1807 S Allport St, Chicago, IL 60608",41.857716,-87.6575332
2024-06-12,"Milwaukee, Wisconsin, United States","Wilco, Cut Worms",0,29,4.0,0,Street Team,5.5,12,124,,,,,"The Riverside Theater, Milwaukee, Wisconsin, United States","118 W Wisconsin Ave, Milwaukee, WI 53203",43.0388947,-87.9109327
2024-06-13,"Milwaukee, Wisconsin, United States",Gregory Allen Isakov,0,36,4.0,0,Street Team,4.5,13,26,,,,,"Miller High Life Theatre, Milwaukee, Wisconsin, United States","500 W Kilbourn Ave, Milwaukee, WI 53203",43.0422794,-87.9181594
2024-06-14,"Milwaukee, Wisconsin, United States","Iron & Wine, Ken Pomeroy",0,19,4.5,0,Street Team,4.9,14,40,,,,,"Pabst Theater, Milwaukee, Wisconsin, United States","147 E Wells St, Milwaukee, WI 53202",43.0411402,-87.9104618
2024-06-21,"Milwaukee, Wisconsin, United States","Charlotte Cardin, Taylor Bennett",0,34,4.0,0,Summerfest Promo,7.1,11,51,99 Nights,2023-08-25,Top 25,301 day(s),"Summerfest Grounds at Henry Maier Festival Park, Milwaukee, Wisconsin, United States","200 N Harbor Dr, Milwaukee, WI 53202",43.0310609,-87.8995157
2024-06-27,"Milwaukee, Wisconsin, United States","Brigitte Calls Me Baby, grouptherapy.",0,20,4.5,1,Unknown,7.1,11,8,The Future Is Our Way Out,2024-08-02,Top 50,,"Summerfest, Milwaukee, Wisconsin, United States","200 North Harbor Drive, Milwaukee, Wisconsin 53202",43.0310609,-87.8995157
2024-07-04,"Milwaukee, Wisconsin, United States","Say She She, Wave Chapelle, Ellie Jackson, Reyna",1,35,4.0,1,Unknown,7.1,11,496,Can't Stop Won't Stop,2023-05-05,Top 100,426 day(s),"Summerfest Grounds at Henry Maier Festival Park, Milwaukee, Wisconsin, United States","200 N Harbor Dr, Milwaukee, WI 53202",43.0310609,-87.8995157
2024-07-05,"Milwaukee, Wisconsin, United States",Local Natives,0,6,5.0,1,Unknown,7.1,11,303,Time Will Wait For No One,2023-07-07,Top 50,364 day(s),"Summerfest, Milwaukee, Wisconsin, United States","200 N Harbor Dr, Milwaukee, WI 53202",43.0310609,-87.8995157
2024-07-06,"Milwaukee, Wisconsin, United States",Amy Grant,0,37,4.0,1,Unknown,7.1,11,12,,,,,"Summerfest, Milwaukee, Wisconsin, United States","200 N Harbor Dr, Milwaukee, WI 53202",43.0310609,-87.8995157
