Start Date,Ranking,Bands,Venue,Location,Rating,Paid,Discount,capacity,Is Local,dist_from_home,drive_time,Scrobbles Before Concert,Album Name,Release Date,Tier,Waited,Venue Location,Full Address,Latitude,Longitude,Venue_Bands_Complete,LongTerm_Start Date,LongTerm_Bands,LongTerm_Venue,LongTerm_Location
2024-03-16,11.0,"Grouplove, Bully",Riviera Theatre,"Chicago, Illinois, United States",4.5,1.0,,2500.0,0.0,91.5,94.0,370.0,,,,,"Riviera Theatre, Chicago, Illinois, United States","4746 N Racine Ave, Chicago, IL 60640",41.9685593,-87.659926,"Grouplove, Bully",2024-03-16,"Grouplove, Bully",Riviera Theatre,"Chicago, Illinois, United States"
2024-04-22,12.0,"Alvvays, Spllit",Pabst Theater,"Milwaukee, Wisconsin, United States",4.5,1.0,,1279.0,0.0,4.9,14.0,169.0,,,,,"Pabst Theater, Milwaukee, Wisconsin, United States","145 E Wells St, Milwaukee, WI 53202",43.0411402,-87.9104618,"Cat Power, Alvvays, Spllit, Iron & Wine, Ken Pomeroy, Horseshoes & Hand Grenades, Ladybird",2024-04-22,"Alvvays, Spllit",Pabst Theater,"Milwaukee, Wisconsin, United States"
2024-05-07,13.0,"Belle and Sebastian, Haley Henderickx",Turner Hall Ballroom,"Milwaukee, Wisconsin, United States",4.5,0.0,Street Team,987.0,0.0,4.5,13.0,238.0,Late Developers,2023-01-13,Top 50,480 day(s),"Turner Hall Ballroom, Milwaukee, Wisconsin, United States","1048 N Vel R. Phillips Ave, Milwaukee, WI 53203",43.0379086,-87.9160468,"Briston Maroney, Phoebe Go, The Last Dinner Party, Miss Grit, The Mountain Goats, Katy Kirby, Saint Motel, Gibbz, Belle and Sebastian, Haley Henderickx",2024-05-07,"Belle and Sebastian, Haley Henderickx",Turner Hall Ballroom,"Milwaukee, Wisconsin, United States"
2024-08-23,14.0,Maggie Rose,Vivarium,"Milwaukee, Wisconsin, United States",4.5,0.0,Street Team,450.0,0.0,5.5,16.0,34.0,No One Gets Out Alive,2024-04-05,Top 25,140 day(s),"Vivarium, Milwaukee, Wisconsin, United States","1835 N Farwell Ave, Milwaukee, WI 53202",43.0543036,-87.8905826,"Wave Chapelle, ADORNER, Molly Grace, The Wonderlands (US), Diet Lite, Motel Breakfast, Ladybird, Sun June, Wild Pink, Sinai Vessel, Real Estate, Marina Allen, Durry, Lunar Moth, Reyna, Vic and Gab, Eliza Hanson, Maggie Rose, Dessa, Wave Chapelle, Kaitlin Butts, Angel White, Marika Hackman, Art School Girlfriend, Haley Heynderickx, Lily Breshears",2024-08-23,Maggie Rose,Vivarium,"Milwaukee, Wisconsin, United States"
2024-11-02,15.0,"The Menzingers, Direct Hit!, Holy Pinto",The Rave,"Milwaukee, Wisconsin, United States",4.5,0.0,Rave Contest,1000.0,1.0,4.9,10.0,47.0,Some Of It Was True,2023-10-13,Top 50,386 day(s),"The Rave, Milwaukee, Wisconsin, United States","2406 W Wisconsin Ave, Milwaukee, WI 53233",43.0379219,-87.9433191,"Meg Myers, Silversun Pickups, Speedy Ortiz, Arlo Parks, Social Cig, The Menzingers, Direct Hit!, Holy Pinto",2024-11-02,"The Menzingers, Direct Hit!, Holy Pinto",The Rave,"Milwaukee, Wisconsin, United States"
2024-04-27,16.0,"Sierra Ferrell, Cat Clyde",The Riverside Theater,"Milwaukee, Wisconsin, United States",4.5,0.0,Street Team,2450.0,0.0,5.5,12.0,153.0,Trail Of Flowers,2024-03-22,Top 25,36 day(s),"The Riverside Theater, Milwaukee, Wisconsin, United States","116 W Wisconsin Ave, Milwaukee, WI 53203",43.0388947,-87.9109327,"Sierra Ferrell, Cat Clyde, Wilco, Cut Worms, Modest Mouse, The Black Heart Procession",2024-04-27,"Sierra Ferrell, Cat Clyde",The Riverside Theater,"Milwaukee, Wisconsin, United States"
2024-04-10,17.0,"The Mountain Goats, Katy Kirby",Turner Hall Ballroom,"Milwaukee, Wisconsin, United States",4.5,0.0,Street Team,987.0,0.0,4.5,13.0,456.0,Blue Raspberry (Deluxe),2024-07-12,Top 50,,"Turner Hall Ballroom, Milwaukee, Wisconsin, United States","1044 N Vel R. Phillips Ave, Milwaukee, WI 53203",43.0379086,-87.9160468,"Briston Maroney, Phoebe Go, The Last Dinner Party, Miss Grit, The Mountain Goats, Katy Kirby, Saint Motel, Gibbz, Belle and Sebastian, Haley Henderickx",2024-04-10,"The Mountain Goats, Katy Kirby",Turner Hall Ballroom,"Milwaukee, Wisconsin, United States"
2024-08-21,18.0,Talib Kweli,"Peck Pavilion, Marcus Center for the Performing Arts","Milwaukee, Wisconsin, United States",4.5,0.0,Summer of Soul,396.0,0.0,4.8,14.0,0.0,,,,,"Peck Pavilion, Marcus Center for the Performing Arts, Milwaukee, Wisconsin, United States","929 N Water St, Milwaukee, WI 53202",43.0430253,-87.9112274,Talib Kweli,2024-08-21,Talib Kweli,"Peck Pavilion, Marcus Center for the Performing Arts","Milwaukee, Wisconsin, United States"
2024-06-14,19.0,"Iron & Wine, Ken Pomeroy",Pabst Theater,"Milwaukee, Wisconsin, United States",4.5,0.0,Street Team,1279.0,0.0,4.9,14.0,40.0,,,,,"Pabst Theater, Milwaukee, Wisconsin, United States","147 E Wells St, Milwaukee, WI 53202",43.0411402,-87.9104618,"Cat Power, Alvvays, Spllit, Iron & Wine, Ken Pomeroy, Horseshoes & Hand Grenades, Ladybird",2024-06-14,"Iron & Wine, Ken Pomeroy",Pabst Theater,"Milwaukee, Wisconsin, United States"
2024-06-27,20.0,"Brigitte Calls Me Baby, grouptherapy. ",Summerfest,"Milwaukee, Wisconsin, United States",4.5,0.0,Street Team,10000.0,0.0,7.1,11.0,8.0,The Future Is Our Way Out,2024-08-02,Top 50,,"Summerfest, Milwaukee, Wisconsin, United States","200 North Harbor Drive, Milwaukee, Wisconsin 53202",43.0310609,-87.8995157,"Charlotte Cardin, Taylor Bennett, Brigitte Calls Me Baby, grouptherapy., Say She She, Wave Chapelle, Ellie Jackson, Reyna, Local Natives, Amy Grant",06/21/2024,,,
